goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: AMD Ryzen 7 2700X Eight-Core Processor         
BenchmarkPrecompiledBn256Pairing/jeff3-Gas=113000-16                                                     	    3492	   3397205 ns/op	    113000 gas/op	        33.26 mgas/s	  103952 B/op	     980 allocs/op
BenchmarkPrecompiledBn256Pairing/jeff4-Gas=147000-16                                                     	    2590	   4569663 ns/op	    147000 gas/op	        32.16 mgas/s	  152576 B/op	    1458 allocs/op
BenchmarkPrecompiledBn256Pairing/jeff5-Gas=147000-16                                                     	    2253	   4653232 ns/op	    147000 gas/op	        31.59 mgas/s	  152576 B/op	    1458 allocs/op
BenchmarkPrecompiledBn256Pairing/jeff6-Gas=113000-16                                                     	    4027	   3419924 ns/op	    113000 gas/op	        33.04 mgas/s	  103920 B/op	     979 allocs/op
BenchmarkPrecompiledBn256Pairing/empty_data-Gas=45000-16                                                 	   13888	    865201 ns/op	     45000 gas/op	        52.01 mgas/s	    6784 B/op	      24 allocs/op
BenchmarkPrecompiledBn256Pairing/one_point-Gas=79000-16                                                  	    5802	   2134752 ns/op	     79000 gas/op	        37.00 mgas/s	   55328 B/op	     501 allocs/op
BenchmarkPrecompiledBn256Pairing/two_point_match_2-Gas=113000-16                                         	    3477	   3403035 ns/op	    113000 gas/op	        33.20 mgas/s	  103952 B/op	     980 allocs/op
BenchmarkPrecompiledBn256Pairing/two_point_match_3-Gas=113000-16                                         	    3556	   3432496 ns/op	    113000 gas/op	        32.92 mgas/s	  103952 B/op	     980 allocs/op
BenchmarkPrecompiledBn256Pairing/two_point_match_4-Gas=113000-16                                         	    3170	   3456235 ns/op	    113000 gas/op	        32.69 mgas/s	  103952 B/op	     980 allocs/op
BenchmarkPrecompiledBn256Pairing/ten_point_match_1-Gas=385000-16                                         	     812	  13534927 ns/op	    385000 gas/op	        28.44 mgas/s	  492881 B/op	    4794 allocs/op
BenchmarkPrecompiledBn256Pairing/ten_point_match_2-Gas=385000-16                                         	     906	  13919432 ns/op	    385000 gas/op	        27.65 mgas/s	  492881 B/op	    4794 allocs/op
BenchmarkPrecompiledBn256Pairing/ten_point_match_3-Gas=113000-16                                         	    3169	   3418470 ns/op	    113000 gas/op	        33.05 mgas/s	  103952 B/op	     980 allocs/op
BenchmarkPrecompiledBlake2F/vector_4-Gas=0-16                                                            	67191466	       188.2 ns/op	         0 gas/op	         0 mgas/s	      64 B/op	       1 allocs/op
BenchmarkPrecompiledBlake2F/vector_5-Gas=12-16                                                           	30020887	       394.4 ns/op	        12.00 gas/op	        30.42 mgas/s	      64 B/op	       1 allocs/op
BenchmarkPrecompiledBlake2F/vector_6-Gas=12-16                                                           	31226420	       396.6 ns/op	        12.00 gas/op	        30.25 mgas/s	      64 B/op	       1 allocs/op
BenchmarkPrecompiledBlake2F/vector_7-Gas=1-16                                                            	59232999	       205.3 ns/op	         1.000 gas/op	         4.870 mgas/s	      64 B/op	       1 allocs/op
BenchmarkPrecompiledBlake2F/vector_8-Gas=8000000-16                                                      	     177	  67393834 ns/op	   8000000 gas/op	       118.7 mgas/s	      64 B/op	       1 allocs/op
